ETH Balance,Status Code,Status Message,Time Stamp
10.793,200,Success,2022-12-01 17:10:16.806687
10.793,200,Success,2022-12-01 17:10:27.352832
10.793,200,Success,2022-12-01 17:14:52.883398
10.793,200,Success,2022-12-01 17:15:06.175279
10.793,200,Success,2022-12-01 17:23:35.561585
10.793,200,Success,2022-12-02 16:42:08.634564
10.793,200,Success,2022-12-02 16:42:37.530262
10.793,200,Success,2022-12-02 16:49:43.483337
